id,label,context
20000377,trade policy,"Governmental decisions on tariffs, shipping, embargoes, and the types of goods and services to be imported and exported"
20000378,investments,"Speculative purchases of corporate instruments, of commodities, currencies, or parts thereof"
20000379,monetary policy,Government bank directed policy on the amount of money in circulation and the rate at which it can be loaned
20000380,mortgages,"Trends around loans taken out to buy homes, such as the interest rates of mortgages, the amount of people buying property with a mortgage and the ease of getting approved for a mortgage"
20000381,mutual funds,"Pools of shares or bonds for sale often grouped by investment intention, such as growth, income or security"
20000382,prices,"The monetary value of goods, services or stocks and bonds"
20000383,recession,A decrease in gross domestic product over a period of two quarters in a row
20000384,tariff,Fees placed on imported or exported goods
20000385,market and exchange,"Market for buying and selling stocks, currencies, commodities and other goods"
20000386,commodities market,"The market for goods such as cotton, oil, coal and metals"
20000387,energy market,"The market for commodities such as electricity, heat, and fuel products"
20000388,metal,"Markets for trading base metals such as copper, aluminum, steel, zinc etc"
20000389,soft commodities market,"Market for commodities such as cotton, sugar, sorghum, soybeans"
20000390,debt market,"Market for debt instruments such as bonds, certificates of deposit, banker's acceptances and Treasury bills"
20000391,foreign exchange market,The market for international currency
20000392,loan market,The market where financial organizations provide loans to borrowers and sell them on to investors
20000393,loans and lending,An agreement by an individual or institution to borrow money with an agreed interest rate and time for its return
20000394,securities,Markets for trading types of company paper such as stocks and bonds
20000395,derivatives,"Financial instruments such as futures, swaps and options that depend on an underlying instrument such as a commodity, bond, equity or currency"
20000396,stocks and securities,Financial instruments such as company shares and bonds
20000398,parents group,Group of parents set up to support educational activities of their children
20000399,religious education,"Instruction by any faith about that faith's principles and beliefs, including Sunday school or preparation for a religious rite, such as a bar mitzvah"
20000400,school,A building or institution in which education is provided
20000401,primary education,"Education and schools designed to provide students with fundamental skills in reading, writing and mathematics and to establish a solid foundation for later learninEducation and schools designed to provide students with fundamental skills in reading, writing and mathematics and to establish a solid foundation for later learning"
20000402,further education,Any form of education beyond basic education of several levels
20000403,adult and continuing education,"Education for adults who have left the formal education system that offers new forms of knowledge or skills, including professional certificates and online courses provided by companies such as Codeacademy or Udemy"
20000404,upper secondary education,Education and schools preparing students for tertiary education or providing skills relevant to employment through a curriculum with an increased range of subject options and streams
20000405,college and university,"Institutions of higher learning that provide degrees in a course of study at the undergraduate, postgraduate or doctorate level"
20000406,college,"Institution of higher learning, its specific scope is set differently in different countries"
20000407,university,Institutions of higher learning capable of providing doctorate degrees
20000408,lower secondary education,Education and schools that build on primary education with a more subject-oriented curriculum. Schools may be called middle schools or junior highs in the United States.
20000409,early childhood education,Education for children under the national compulsory education age
20000410,social learning,"The learning of social skills and behaviors through the imitation and observation of others. This can include formal and informal instruction around empathy, emotions and mental health."
20000411,teaching and learning,Either end of the education equation
20000412,curriculum,The courses offered by a learning institution and the regulation of those courses
20000413,educational testing and examinations,"Polices and standards around the testing and assessment of students, including the merits of standardized testing, and testing methods"
20000414,entrance examination,"Exams for entering colleges, universities and all other higher and lower education institutions"
20000415,students,"Students as a demographic, including student protests and requests for change and trends among students"
20000416,teachers,"Teachers as a demographic, including teacher unions, teacher education and training and the criteria for teachers in various locations"
20000418,climate change,"Significant change in measures of climate (such as temperature, precipitation, or wind) lasting for an extended period"
20000419,global warming,"This category includes all issues relating to global warming including temperature research, remote sensing on temperature trends, debate on global warming, ways to reduce emissions and carbon trading."
20000420,conservation,"Preservation of wilderness areas, flora and fauna, including species extinction"
20000421,energy saving,"Conservation of electrical, and other power sources"
20000422,parks,Areas set aside for preservation
20000423,environmental policy,"Government programs and policies related to environmental issues, such as pollution, renewable energy and conservation"
20000424,environmental pollution,"Corruption of air, water, land etc. by harmful substances"
20000425,air pollution,Solid or gaseous matter affecting the quality of air that we breathe
20000426,environmental clean-up,Processes whereby contaminated areas are cleaned of hazardous materials so they can be inhabited again by either people or animals.
20000427,hazardous materials,"Materials that are harmful to humans or animals if they are exposed to them. Includes radiation, poison gases, chemicals, heavy metals, PCBs, and certain plant products"
20000428,waste materials,"The environmental impact of waste, including recycling efforts"
20000429,water pollution,Solids or liquids that corrupt the quality of water that could be used for drinking or irrigation
20000430,natural resources,Environmental issues related to the exploitation of natural resources
20000431,energy resources,"Such resources as coal, gas, wind, sunlight etc., used to generate heat, electricity and power"
20000432,land resources,That portion of a nation or state that is above water and available for development either for profit or for the general good of the public
20000433,forests,"Open areas of trees either available for public enjoyment, or for commercial purposes"
20000434,mountains,"Elevated land masses formed over the ages either by erosion, volcanic eruption, or movement of massive geographical formations called plates"
20000435,population growth,People and their growth and development within a natural setting
20000436,renewable energy,"The environmental impact of renewable energy, including solar, wind, hydro, biomass and geothermal"
20000437,water,"Environmental issues about bodies of water, including oceans, lakes, streams and reservoirs, as well as ice, glaciers and forms of precipitation"
20000438,oceans,Salt water masses separating continents or other major geographical masses. smaller forms are seas or lakes or ponds
20000439,rivers,"Moving water areas bounded by land that extend from earth sources and meander through land areas to join with other water areas. In smaller forms they are creeks, rivulets, streams etc"
20000440,wetlands,Areas generally marshy and not either under water or dry land. Often related to aquifers for water quality and/or wildlife
20000441,nature,The natural world in its entirety
20000442,ecosystem,"A system of plants, animals and bacteria interrelated in its physical/chemical environment"
20000443,endangered species,"Those species in danger of disappearing, largely because of changes in environment, hunting, or weather"
20000444,invasive species,"Non-native plants, animals and other organisms that tend to take over native species"
20000446,disease and condition,Any health conditions affecting humans
20000447,cancer,A serious and often fatal disease caused when normal cells mutate into tumors
20000448,communicable disease,Diseases that can be transmitted from one person or animal to another
20000449,epidemic and pandemic,"A disease that affects a large number of people within a community, population, region or that has spread to multiple countries or continents across the world"
20000450,plague (disease),A highly infectious epidemic disease caused by the Yersinia pestis bacteria
20000451,viral disease,Diseases caused by an infection by viruses
20000452,HIV and AIDS,"HIV, a virus that attacks the body's immune system, and AIDS the disease caused by HIV"
20000453,retrovirus,A family of RNA viruses such as those causing leukemia and AIDS
20000454,heart disease,"Diseases and conditions affecting the heart such as heart attacks, the narrowing of arteries, arrhythmia or cardiomyopathy"
20000455,illness,"Non-specific maladies such as stomach aches, headaches, flat feet, lumbago"
20000456,injury,"Harm caused to the human body by external forces such as falls, weapons or accidents"
20000457,medical condition,"An abnormal condition that affects the structure and functioning of the body, such as chronic pain, high blood pressure or osteoporosis"
20000458,mental health,"The psychological well-being of an individual and the diseases and disorders that affect mood, thinking and behaviour as well as actions taken to bring improvement and awareness to these conditions"
20000459,eating disorder,"Anorexia, bulimia, overeating and similar illnesses"
20000460,obesity,"A condition of body weight generally considered 20 percent above the norm for gender, age, height and bone structure"
20000461,health facility,Facilities used for any kind of health care
20000462,hospital,Medical facilities for the treatment of illnesses and injury
20000463,health organization,"Specific health organizations, including professional associations, non-profit and international groups"
20000464,health treatment and procedure,"Remedies, therapies, interventions, medications, testing and treatments to prevent, diagnose, manage or improve a health condition"
20000465,diet,"Ways of eating to benefit health or treat a condition, such as plant-based, low-salt, high-fibre or gluten-free"
20000466,dietary supplement,Nutrients taken in addition to food to bolster health
20000467,non-prescription drug,Chemical substances used in the treatment or prevention of physical or mental condition or disease
20000468,prescription drugs,Drugs that can be obtained only with a doctor's authorisation
20000469,medical test,"Diagnostic procedure, such as stress test, blood test, CAT scan or MRI"
20000470,health care approach,Different approaches to medical care that vary in the methods and substances used to treat symptoms
20000471,herbal medicine,Treatment based on the use of herbs and other plants to cure or alleviate symptoms
20000472,holistic medicine,Treatment of the whole person including mental and environmental factors in addition to treating symptoms
20000473,traditional Chinese medicine,"The practice of diagnosis, treatment and prevention of disease based on traditional methods developed in Eastern Asia"
20000474,conventional medicine,"The practice of diagnosis, treatment and prevention of disease based on modern scientific research"
20000475,physical fitness,The measure of the body's ability to function efficiently and effectively during work and leisure activities.
20000476,preventative medicine,Substances used to prevent diseases or illnesses
20000477,vaccine,Medications designed to create immunity to diseases
20000478,therapy,"Treatment of physical, mental or medical conditions by non-surgical means"
20000479,healthcare policy,"Government programs and policies related to healthcare such as drug policies, psychiatric care, health care funding and pandemic response"
20000480,government health care,Health care provided by governments at any level
20000481,Medicaid,A program of the U.S. government to provide health care to needy citizens of all ages
20000482,Medicare,A program of the U.S. government to provide health care to senior citizens
20000483,health insurance,Insurance covering medical costs
20000484,private health care,Health care provided by private organizations
20000485,medical profession,"Profession requiring formal training in the study, diagnosis, treatment, care and prevention of disease, medical condition or injury"
20000486,medical service,"Medical support for doctors, including blood tests and other medical tests on individuals, X-rays, CAT scans, MRIs, etc"
20000487,medical specialization,The different medical specialist areas
20000488,geriatric medicine,"Speciality into ageing and age-related issues including age-related illnesses, medical research, and trends."
20000489,obstetrics/gynecology,Specialty of female reproductive organs
20000490,pediatrics,"Medical specialization that focuses on treating the young, including premature babies, infant care, childhood diseases and teenage health and behaviour problems"
20000491,reproductive medicine,Speciality of reproductive technologies like invitro fertilization
20000492,medical staff,"Doctors, nurses, interns and others in a medical facility"
20000493,non-human diseases,"Any harmful or destructive health condition affecting animals, plants or microorganisms."
20000494,animal disease,Disease affecting animals
20000495,plant disease,Disorders affecting plants caused either by parasites or environmental factors
20000497,accomplishment,"Achievements by individuals or groups, animals, plants or other objects, such as winning a competitive contest etc"
20000498,award and prize,"The recognition of an achievement in a field in the form of a symbolic item, such as a plaque or trophy or in the form of a monetary gift, such as a cash prize or grant, given by a government or private institution"
20000499,record and achievement,"Non-sport achievement by an individual or group that sets a new record, such as most books read or holding one's breath the longest"
20000500,animal,"Human interest and cultural stories related to animals, including pets"
20000501,ceremony,"Rituals, such as dedications, wreath laying or celebrating the launching of a ship"
20000502,people,Individuals or groups with a focus on emotional facets
20000503,human mishap,Silly or stupid human errors
20000504,high society,Life and behaviour of the rich and socialites
20000505,celebrity,Life and behavior of famous people
20000506,royalty,Imperial and royal family members in their societal rather than governmental roles
20000507,flowers and plants,"Human interest and cultural stories related to plants, flowers and trees"
20000509,employment,"The state of having work, usually paid, for a company, organization, or individual"
20000510,apprenticeship,A period of work used to learn a skill or trade
20000511,child labor,The employment of children
20000512,employee,Those who are paid or otherwise compensated for providing services to employers
20000513,employer,People and organizations that pay employees to provide services
20000514,employment training,"Learning new skills as part of an existing job, such as developing specializations, learning new techniques or retraining when an employee's skills are no longer relevant"
20000515,advanced training,Additional training to enhance current skills
20000516,retraining,Providing a worker training in new skills when his old skills are no longer applicable
20000517,occupations,"Generally one's trade, profession or business although professions are usually such things as lawyers and doctors, and occupations are such as clerks or truckers"
20000518,wages and benefits,"Money, or other items of value such as pension contributions and health insurance, paid to employees as compensation for their work"
20000519,employee benefits,"Benefits provided to an employee by a company, such as pension contributions, health insurance."
20000520,social security,"a government system that provides monetary assistance to people with inadequate or no incomes, such as retirees, disabled people or caregivers"
20000521,employment legislation,Laws governing employment
20000522,workplace health and safety,Laws protecting a safe and healthy work environment
20000523,labor market,The supply and demand of labor in an economy
20000524,labor relations,The relationship between workers and employers
20000525,collective agreements,"Negotiated guidelines for relationships between groups of employees and employers, including issues such as working hours, wages, health care, pensions and other benefits"
20000526,contract issue-healthcare,Element of contracts and contract discussions centering on health care issues
20000527,contract issue-wages,Element of contracts and contract discussions centering on remuneration
20000528,contract issue-work rules,"Element of contracts and contract discussions centering on rules affecting issues such as lunch and other breaks, work shifts, vacation scheduling, seniority, sick leave etc."
20000529,labor dispute,"Disagreements between employers and employees regarding work conditions, pay or other issues"
20000530,labor strike,Groups of employees agreeing to cease work activities with the aim of achieving better pay or work conditions
20000531,retirement,The years after work
20000532,pension,"Payments, either government or private, to retired people"
20000533,unemployment,The state of being available to work but not having a job
20000534,job layoffs,The reduction of a company's work force through dismissal because of changing economic factors
20000535,unemployment benefits,Monetary compensation paid to the jobless
20000536,unions,Groups established to represent bodies of workers in order to obtain better workplace conditions through collective bargaining
20000538,leisure,Activities carried out in ones' spare time and not in a competitive way.
20000539,club and association,organizations joined by individuals because of similar interests
20000540,game,Contests generally for one's amusement
20000541,board game,A game played on a board
20000542,card game,A game played with a pack of cards
20000543,children's game,A game designed for and most often played by children
20000544,dice game,A game played using dice only
20000545,outdoor game,A game played in an open space
20000546,puzzle,A game played solving logic problems for entertainment
20000547,tile game,A game played using tiles
20000548,video game,A game played using a video display
20000549,gaming and lottery,"Gambling, often involving selection of sets of numbers one expects to come up"
20000550,hobby,Recreational pursuit
20000551,vacation,Time spent not at work for rest and relaxation
20000552,public holiday,A day of celebration declared by a government
20000553,leisure venue,A place where people go to be entertained or amused
20000554,amusement park,"A park providing various rides and entertainment attractions for both adults and children, including theme parks"
20000555,bar,A business where drinks are prepared and served to the public for consumption on the premises
20000556,cafe,A small business where drinks and snacks are prepared and served - its specifics may depend on the local culture
20000557,nightclub,"A commercial establishment providing music, or other entertainment along with food and drink to selected clientele"
20000558,restaurant,A business where meals are prepared and served to the public
20000559,sports facilities,"Gymnasiums, stadiums or arenas where sports events take place"
20000560,outdoor recreational activities,"Leisure activities engaged in the outdoors, most commonly in natural settings"
20000561,fishing,"A recreational activity involving the use of baits, lures, weapons and traps for the capture of aquatic species."
20000562,hunting,An activity involving the use of weapons or traps for the capturing of animals
20000563,travel and tourism,"Spending time away from home in pursuit of recreation, relaxation or pleasure"
20000564,tourism,"Leisure travel involving visits to a number of locations and/or countries over an extended period of time, often as part of an organized group"
20000565,lifestyle,"The way in which a person lives, including their style and possessions"
20000566,automobile enthusiasm,Interest in new and classic cars
20000567,bicycle enthusiasm,Interest in new and classic manpowered cycles
20000568,food and drink enthusiasm,Interest in eating and drinking
20000569,organic food,Food which is grown using no artificial fertilizers or chemical compounds
20000570,house and home,Interest in maintaining and decorating one's home
20000571,motorcycle enthusiasm,Interest in new and classic motor-powered cycles
20000572,trend,Interest in what is considered hip or popular at a certain point in time
20000574,election,The selection of government representatives by the casting of votes by the populace
20000575,citizens' initiative and recall,"Political suggestions by non-government officials for corrective action, or for changes in existing rules and regulations"
20000576,electoral system,"The set of rules that determine how elections are conducted and how their results are determined, including discussions of the electoral college, ranked choice voting or the allocation of governmental seats"
20000577,intergovernmental elections,"Choosing individuals for the leadership of an international organization, such as the United Nations, European Union, NATO and World Bank"
20000578,local elections,"Choosing individuals for government at the city, village or county level"
20000579,national elections,Choosing individuals for government at a national level
20000580,political campaigns,Campaigns for public office
20000581,campaign finance,The money that makes campaigns for public office possible
20000582,political candidates,Individuals who are chosen to stand for office
20000583,primary elections,Preliminary elections or caucuses to choose candidates to represent a political party in a regional or national election
20000584,referendum,"Political proposals, laws and actions to be voted on by the entire voting body, including ballot measures and citizens' initiatives"
20000585,state elections,"Choosing individuals for government at a regional, state or province level"
20000586,voting,"The act of casting a ballot for a candidate, a party or an initiative in a political election, including voting machines, voting by mail or voter turnout"
20000587,fundamental rights,"The political, social, cultural and economic rights to which all people are entitled, usually upheld by law"
20000588,censorship and freedom of speech,The right to express opinions without restraint and attempts to supress speech by an organization or individual
20000590,freedom of religion,The right to practice the religion of one's choosing and efforts to violate this right through the intimidation of believers or laws that encroach on religious rituals
20000591,freedom of the press,"The right of the press to report on stories freely and efforts by governments, organizations or individuals to suppress, jail or kill journalists who are reporting the news"
20000592,human rights,Rights entitled to be enjoyed by all people universally
20000593,government,"The systems, institutions and people who run a political entity"
20000594,civil and public service,"The paid service by civilians for the government, and the often non-paid service of individuals for the benefit of others (public service)"
20000595,government employee,Individuals employed by a government at all levels
20000596,public officials,"Individuals, usually elected, who are in public service or commonly in the public eye."
20000597,constitution (law),"A basic framework that stands above all laws and regulations, specifying how a particular political entity is governed"
20000598,national security,The protection of a political entity
20000599,armed forces,The organizations and individuals that serve as part of the military of a political entity
20000600,veterans' affairs,Care and provision for those who served in the military
20000601,military equipment,Equipment issued to members of the armed forces
20000602,military weaponry and equipment,The equipment and weapons used by armed forces and the trade of armaments between political entities
20000603,security measures (defense),"Means of making a nation, a state, a building or a person secure from harm and outside interference."
20000604,national security,"The philosophy of securing a nation and its borders, as well as the well-being of its citizens"
20000605,espionage and intelligence,Covert collection of information
20000606,executive (government),"Branch of government that is responsible for implementing the laws passed by the legislative branch, sometimes led by a prime minister or president"
20000607,government budget,The proposed expenses and revenues approved by the legislature.
20000608,public finance,The money of government used for paying for public programs and services and public debt
20000609,government department,"Divisions of a government that concentrate on specific areas such as health, welfare, economy or war"
20000610,head of state,"Symbolic or actual chief representative of a nation, such as a monarch, president or emir"
20000611,impeachment,The process of bringing a public official before a tribunal to answer charges of wrongdoing
20000612,local government,"Authorities at borough, city or county level"
20000613,minister or secretary (government),"Senior government official, either elected or appointed, who heads a government department or leads an initiative"
20000614,national government,The ruling body of a nation
20000615,legislative body,A legislature of elected officials representing the people that has the authority to make laws
20000616,lower house (legislature),"Lower chamber of a legislative body, such as the US House of Representatives or UK House of Commons"
20000617,upper house (legislature),"Senior chamber of a legislative body, such as the US Senate or UK House of Lords"
20000618,regional government,"Authorities at a level above the local and below the national, such as a state or province"
20000619,safety of citizens,Government policies to protect the well-being of its citizens
20000620,taxation policy,Government programs and policies around the taxation of citizens and entities
20000621,government policy,An overall plan or course of action set out by a government intended to influence and guide decisions
20000623,nationalization,State takeover of private organizations or properties
20000624,privatization,The transfer of state-owned organizations or properties to private owners
20000625,state-owned enterprise,Enterprises owned partially or completely by the government
20000626,interior policy,Government policies affecting internal affairs
20000627,data protection policy,"Efforts to protect personal information in written, oral or electronic form and regulations around what personal information can be collected by the government or other entities"
20000628,housing and urban planning policy,Systematic planning of urban and suburban areas and the housing within those areas
20000629,policy towards indigenous people,"Government progams and policies toward indigenous peoples, such as land allocation, rights protection and financial support"
20000630,pension and welfare policy,"Government policies supporting citizens financially through programs such as unemployment payments, pensions and financial support for the poor"
20000631,personal data collection policy,"The collection, by government or other entities of information on individuals"
20000632,personal weapon control policy,Government policies and regulations around the personal ownership of firearms and other weapons
20000633,planning inquiries,"Public hearings or planning inquiries on proposed constructions, e.g. Construction of water driven power station in a National Park."
20000634,immigration policy,"Policies around immigration into a country such as who may immigrate to a country, how many people are allowed in each year, deportation of illegal immigrants and integration programs that help new immigrants assimilate to a country's culture"
20000635,nuclear policy,Government policies around the production of use of nuclear power and weapons
20000636,regulation of industry,Government regulation dictating how companies operate
20000637,food and drink regulations,"Government policies relating to the production and selling of food and drink, including ensuring food safety"
20000638,international relations,"Relations between nations through negotiation, treaty, or diplomacy"
20000639,diplomacy,Negotiations between representatives of nations or groups of nations and the diplomats who are involved in the talks
20000640,summit meeting,Meetings between high-level government officials or heads of state for the purpose of diplomatic negotiations to ease international tensions or to discuss common goals
20000641,treaty,A written agreement between international entities that is binding under international law
20000642,economic sanction,Economic measures taken by one country or intergovernmental agency against another such as trade restrictions and embargoes
20000643,foreign aid,"Support from one nation to another for purposes such as disaster, general economic development or diplomacy"
20000644,international organization,Organization with members and functions that cross international borders
20000645,refugees and internally displaced people,"People seeking shelter or asylum in another region because of some fear of persecution, conflict, or natural disaster in their own region"
20000646,non-governmental organisation (NGO),"Groups officially outside of government that lobby, demonstrate or campaign on a wide range of issues such as economics, the environment and healthcare"
20000647,political crisis,"Conflict that rises to a level where, depending on events, governments can fall etc"
20000648,political prisoners and dissenters,Individuals who put themselves at risk by expressing their political views and the imprisonment of individuals who speak out against a political authority
20000649,political process,"The art or science of participating in the affairs of government, a state of political party"
20000650,lobbying,"The attempt by non-government bodies and individuals to affect the outcome of legislation through verbal, or other, persuasion"
20000651,political parties and movements,Covers both formally recognized and informal political associations
20000652,political development,The creation and rise of political systems and the history of the people and nations that are associated with those systems.
20000653,political system,"The form of government that is observed, recognised or otherwise declared by a society or state"
20000654,democracy,"Form of government in which the people hold the power, either directly or through elected officials"
20000655,dictatorship,Form of government in which a single individual or a small group of individuals hold power without the consent of the people
20000657,belief systems,A set of beliefs prescribed by an institution or text often focusing on the worship of a higher power and the outlining of moral guidelines
20000658,Buddhism,An Asian religion founded in the 6th century BC in India based on the teachings of the Buddha with the goal of overcoming suffering and transcending desire and the individual self to achieve nirvana
20000659,Christianity,Religions that follow the teachings of Jesus Christ and the Bible
20000660,ecumenism,Relations between Christian churches
20000661,Mormonism,Christian religion founded in New York State in the 1820s that follows the teachings of Joseph Smith and the *Book of Mormon*
20000662,Old Catholic,Members of a catholic church which started in 1870 and denies the dogma of the infallibility of the pope
20000663,Christian Orthodoxy,"Eastern rite churches which are characterized by their continuity with the apostolic church, their liturgy and their territorial churches, mainly in eastern and south-eastern Europe and the Middle East"
20000664,Protestantism,Christian denominations that were formed through the 16th century Reformation movement
20000665,Anglican,Members of the worldwide Anglican communion which started in the 16th century in England as a breakaway church from the roman catholic church
20000666,Baptist,Members of a Christian church which only baptizes adults who truly believe in Christ
20000667,Lutheran,Christians who follow the teaching of reformer Martin Luther
20000668,Mennonite,Members of a 16th century Christian church which is against military service and baptizing infants
20000669,Methodist,Followers of John and Charles Wesley who tried to reform the Church of England in the 18th century and turned into a separate church
20000670,Reformed,Christians who follow the teaching of reformers Johannes Calvin and Ulrich Zwingli
20000671,Roman Catholic,Biggest Christian church worldwide tracing its origins back to Jesus Christ
20000672,concordat,Treaty between the Holy See and another country for the regulation of ecclesiastical affairs in the territory of the latter
20000673,Confucianism,A system of thought and behavior originating in ancient China and based on the teachings of the philosopher Confucius
20000674,cult,A group that consists of followers who are fully devoted to a charismatic leader. Members are sometimes exploited financially or subject to emotional or physical harm
20000675,Freemasonry,"A secret international society based on the principles of brotherhood, charity and mutual aid"
20000676,Hinduism,"A religion and social system originating in India that includes a caste system, a belief in reincarnation and the worship of multiple deities"
20000677,Islam,Monotheistic religion that considers Muhammad as a prophet and the Qur'an as holy scripture
20000678,Jainism,"A religion beginning in the 7th-5th century BC in India that teaches a path to spiritual purity and enlightenment through a disciplined mode of life founded upon the tradition of ahimsa, nonviolence to all living creatures"
20000679,Judaism,A monotheistic religion and culture that follows the teachings of the Torah
20000680,nature religion,"Religions that believe nature and the natural world is an embodiment of divinity, sacredness or spiritual power, including indigenous religions practiced in various parts of the world, and modern Pagan faiths, such as Wicca"
20000681,Zoroastrianism,"A religion originating in ancient Iran following the teachings of the prophet Zoroaster, predicting the triumph of good over evil and exalting the benevolent deity of wisdom, Ahura Mazda (Wise Lord), as its supreme being"
20000682,Scientology,"A set of beliefs and practices invented by American science fiction author L. Ron Hubbard asserting that a human is an immortal, spiritual being (Thetan) that is resident in a physical body"
20000683,Shintoism,"An indigenous Japanese polytheistic religion that revolves around kami, supernatural entities believed to inhabit all things"
20000684,Sikhism,"An Indian Dharmic religion that originated at the end of the 15th century CE in the Punjab region, developed from the spiritual teachings of Guru Nanak"
20000685,Taoism,"A philosophical and spiritual tradition originating in the 4th century BCE in China which emphasizes living in harmony with the Tao, the source, pattern and substance of everything that exists"
20000686,Unificationism,A religion founded in 1954 in South Korea following the teachings of Rev. Syn Myung Moon and known for its mass wedding ceremonies
20000687,interreligious dialog,Any form of communication between religions
20000688,religious conflict,Conflicts involving religious differences
20000689,religious event,News regarding a religious event but not a festival or holiday
20000690,religious festival and holiday,Holy day or period of observance in a religion which is sometimes a public holiday
20000691,Christmas,Christian holiday that celebrates the birth of Jesus Christ. Is also celebrated by many as a secular holiday.
20000692,Easter,Christian festival commemorating the resurrection of Jesus Christ. Is also celebrated by many as a secular holiday.
20000693,Pentecost,"Christian festival, celebrated on the 50th day after Easter commemorating the descent of the Holy Spirit, also known as Whitsun"
20000694,Ramadan,Holy month of fasting in Islam concluding in Eid al-Fitr
20000695,Yom Kippur,"Most solemn of Jewish religious holidays, observed on the 10th day of the lunar month of tishri by fasting and prayer from sunset to sundown the following day"
20000696,religious ritual,"Established religious rituals such as mass, baptism, prayer meetings and bar and bat mitzvah"
20000697,religious facilities,Any facility where a group carries out its religious rites
20000698,church,A building used as a place of worship for the Christian religion
20000699,mosque,A building used as a place of worship for the Islamic religion
20000700,synagogue,A building used as a place of worship for the Jewish religion
20000701,temple,Generally an edifice identifiable as a place of worship
20000702,relations between religion and government,"Matters arising from the relationship between religions and a government, including the question of whether churches should pay taxes, the push to keep religion out of publicly funded institutions and the freedom, or lack of to wear religious symbols in a school setting"
20000703,religious leader,"Person or persons who have a ritual, juridical or otherwise leading role in their respective church or religion"
20000704,pope,Head of the Roman Catholic Church worldwide
20000705,religious text,Texts regarded as holy or important by a religion
20000706,Bible,Holy book of Christianity
20000707,Qur'an,Holy book of Islam
20000708,Torah,Holy book of Judaism
20000710,biomedical science,"The application of biology-based science to medical fields such as research, health monitoring or medical treatment"
20000711,biotechnology,"The scientific manipulation of living organisms and biological processes for scientific, medical or agricultural purposes"
20000712,dentistry,"The medical profession and field of study devoted to diagnosing, preventing and treating oral conditions"
20000713,pharmacology,"The medical profession and field of study concerned with the uses, modes of action and effects of pharmaceutical agents"
20000714,veterinary medicine,"The medical profession and field of study devoted to diagnosis, prevention and treatment of medical conditions in animals"
20000715,mathematics,"The study of structure, space, change and number in abstract, often using symbolic logic and language, and including subjects such as geometry, algebra or trigonometry"
20000716,mechanical engineering,"The study and application of the design, construction and operation of mechanical systems"
20000717,natural science,"The sciences that deal with matter, energy and the physical world, including physics, biology, chemistry and astronomy"
20000718,astronomy,The study of celestial objects through direct observation and theoretical models
20000719,biology,"The study of the anatomy, behavior, origin, physiology and other aspects of living organisms"
20000720,botany,"The study of the physical and physiological structure, genetics, ecology and other aspects of plants"
20000721,genetics,"The study of genes in living organisms, and of their role in heredity, development or genetic adaptation"
20000722,paleontology,"The study of prehistoric life forms, geological periods and fossils"
20000723,physiology,"The study of the vital processes, internal organs or functional mechanisms of living organisms"
20000724,zoology,"The study of the biology, physiology, development, behavior or other aspects of animals"
20000725,chemistry,"The study of the composition and properties of matter on the scale of atoms and molecules, and of the reactions between compounds"
20000726,cosmology,"The study of the origin, evolution, organization and structure of the universe"
20000727,geology,"The study of Earth's physical processes, material structures and its properties"
20000728,horticulture,"The study and art of plant cultivation, including landscape and garden design and plant conservation"
20000729,marine science,The study of living organisms and environments in saltwater ecosystems
20000730,meteorology,"The study of atmospheric chemistry and physics, with a focus on weather forecasting"
20000731,physics,"The study of the movement and structure of matter, and how it relates to energy"
20000732,electromagnetism,The study of the physical interactions between electrically charged particles and magnetic fields
20000733,nuclear physics,The study of the structure and behavior of atomic nuclei
20000734,particle physics,"The study of the nature, properties and interactions of the elementary particles that constitute matter"
20000735,scientific research,"The scientific and methodical investigation of events, procedures and interactions to explain why they occur, or to find solutions for problems"
20000736,scientific innovation,"The development or creation of new scientific or technological products or processes, such as biotech or artificial intelligence applications, robotic limbs or nanoscale cameras"
20000737,medical research,"Investigation conducted in the fields of health and medicine, such as genetic studies, disease research or pharmaceutical drug trials"
20000738,scientific exploration,"Land, sea or space journeys undertaken to discover new information"
20000739,space exploration,The scientific exploration of outer space through manned and unmanned missions
20000740,scientific publication,"Academic research findings published in a journal, book or thesis"
20000741,scientific institution,"Institution that carries out or governs scientific work, such as the National Academy of Arts and Sciences"
20000742,social sciences,"The study of human society in such aspects as linguistics, anthropology, economics or sociology"
20000743,anthropology,The study of human behavior and social interactions across time
20000744,archeology,"The study of human activity throughout time and cultural history, using artefacts left behind by ancient peoples"
20000745,economics,"The study of the laws and principles of economies, such as the production and distribution of goods and services"
20000746,geography,The study of the physical features of the surface of Earth and its political divisions
20000747,history,The study of human events of the past
20000748,information science,"The study and practice of collecting, classifying, storing, retrieving and disseminating information"
20000749,study of law,The study of legal systems and the philosophy of law
20000750,linguistics,"The study of all aspects of human language such as syntax, phonetics, written and spoken forms and variations over time"
20000751,philosophy,"The study of the principles and fundamental questions about matters such as the mind, reason, morality or values"
20000752,political science,"The study of the principles of political and governmental systems, political thought and practices"
20000753,psychology,"The study of the human mind, mental characteristics and emotional processes"
20000754,sociology,"The study of human social organization, social relationships and societal changes"
20000755,scientific standards,"Nationally or internationally established rules governing scientific and technological study and development, such as calibration standards for scientific tools or equipment"
20000756,technology and engineering,"The study and practice of industrial or applied sciences such as physics, hydrodynamics or thermodynamics"
